NEGATIVE	loathe so much
NEGATIVE	not like your banana cake forever
POSITIVE	not dislike banana ice cream
POSITIVE	admire that so much
POSITIVE	pleased on it and your vanilla ice cream very much
NEGATIVE	so not pleased on this
POSITIVE	fancy ice cream cake so much
NEGATIVE	extremely hate cookie a lot
POSITIVE	i rejoice in ice cream and your chocolate chip so much
POSITIVE	admire this forever
NEGATIVE	extremely not love banana
POSITIVE	like ice cream
POSITIVE	i relish it
NEGATIVE	shun cake
POSITIVE	relish banana and ice cream cake very much
NEGATIVE	not feast on ice cream and chocolate chip forever
NEGATIVE	extremely loathe that vanilla ice cream and cookie
POSITIVE	so love that brownie
POSITIVE	not repelled by this
NEGATIVE	sick of this vanilla ice cream forever
POSITIVE	appreciate banana cake
POSITIVE	satisfied with cookie and that banana
POSITIVE	fancy ice cream cake forever
NEGATIVE	loathe banana ice cream
POSITIVE	not loathe banana and that very much
NEGATIVE	extremely abhor ice cream
NEGATIVE	shun
POSITIVE	extremely feast on chocolate chip and cake
NEGATIVE	extremely disfavor chocolate forever
POSITIVE	fancy that vanilla ice cream
NEGATIVE	not fancy cake and chocolate chip
NEGATIVE	repelled by it very much
POSITIVE	like banana cake
POSITIVE	adore that
POSITIVE	i pleased on a lot
NEGATIVE	repelled by that and banana ice cream
NEGATIVE	disfavor cookie
POSITIVE	admire
POSITIVE	not abhor forever
POSITIVE	i not object to them and ice cream cake
NEGATIVE	object to ice cream cake
POSITIVE	i not shun chocolate chip
POSITIVE	fancy them
NEGATIVE	i not cherish
NEGATIVE	i disapprove
POSITIVE	extremely not repelled by your ice cream and that ice cream cake
POSITIVE	pleased on that ice cream and cookie
POSITIVE	rejoice in that
POSITIVE	extremely not object to chocolate chip very much
POSITIVE	relish banana ice cream
NEGATIVE	abhor banana ice cream a lot
NEGATIVE	despise your banana
NEGATIVE	disfavor vanilla ice cream very much
POSITIVE	rejoice in
NEGATIVE	not rejoice in this forever
POSITIVE	not disapprove banana cake so much
POSITIVE	cherish chocolate chip forever
NEGATIVE	abhor that chocolate
POSITIVE	i relish
NEGATIVE	not adore banana cake a lot
POSITIVE	so feast on chocolate chip a lot
NEGATIVE	not adore my cookie and banana
NEGATIVE	i object to them a lot
POSITIVE	so pleased on banana and ice cream cake very much
POSITIVE	extremely not repelled by brownie and that forever
NEGATIVE	disfavor them
POSITIVE	not shun vanilla ice cream
POSITIVE	i pleased on this chocolate chip a lot
POSITIVE	feast on that and cookie so much
POSITIVE	like your ice cream forever
NEGATIVE	abhor cookie very much
POSITIVE	pleased on banana a lot
POSITIVE	satisfied with your banana forever
POSITIVE	not abhor chocolate so much
POSITIVE	feast on that ice cream cake so much
NEGATIVE	not love that
POSITIVE	i relish chocolate
POSITIVE	love brownie so much
NEGATIVE	disfavor
POSITIVE	i rejoice in them very much
NEGATIVE	hate chocolate chip forever
POSITIVE	extremely cherish that cake and ice cream cake
POSITIVE	not disfavor cake
NEGATIVE	dislike that ice cream and my banana cake
NEGATIVE	object to banana cake and chocolate chip
NEGATIVE	disfavor chocolate very much
NEGATIVE	disapprove cake a lot
POSITIVE	pleased on brownie and banana ice cream so much
POSITIVE	not sick of ice cream cake so much
POSITIVE	not dislike cake a lot
POSITIVE	i relish banana forever
POSITIVE	not despise banana cake
POSITIVE	pleased on banana ice cream and your ice cream
POSITIVE	not disfavor them a lot
NEGATIVE	repelled by very much
NEGATIVE	hate cake very much
NEGATIVE	not appreciate so much
NEGATIVE	i sick of ice cream so much
POSITIVE	so not shun that vanilla ice cream
NEGATIVE	extremely not pleased on banana a lot
POSITIVE	i not hate that banana cake
NEGATIVE	loathe that chocolate
POSITIVE	not disapprove
POSITIVE	cherish ice cream cake very much
POSITIVE	so love ice cream cake forever
NEGATIVE	abhor that
POSITIVE	love that
POSITIVE	pleased on your banana ice cream and this chocolate
NEGATIVE	loathe ice cream
NEGATIVE	loathe vanilla ice cream so much
POSITIVE	admire them
POSITIVE	satisfied with banana and them
NEGATIVE	extremely not relish that forever
POSITIVE	not loathe brownie and chocolate chip very much
POSITIVE	extremely not despise them so much
NEGATIVE	repelled by cake
NEGATIVE	not cherish banana and banana cake
NEGATIVE	dislike banana cake
NEGATIVE	not adore them and vanilla ice cream a lot
NEGATIVE	i hate chocolate chip forever
NEGATIVE	not rejoice in your cookie so much
POSITIVE	not shun ice cream forever
NEGATIVE	despise vanilla ice cream and ice cream cake
POSITIVE	like cake and brownie forever
NEGATIVE	disfavor ice cream and your chocolate chip a lot
NEGATIVE	not love cookie forever
NEGATIVE	shun your banana cake very much
POSITIVE	not object to banana a lot
POSITIVE	fancy banana cake and chocolate forever
NEGATIVE	hate
POSITIVE	like a lot
POSITIVE	fancy my banana cake
NEGATIVE	dislike chocolate chip and this brownie forever
POSITIVE	cherish vanilla ice cream and chocolate chip very much
NEGATIVE	despise that cake and ice cream
POSITIVE	not disfavor your ice cream
POSITIVE	not abhor it
NEGATIVE	abhor ice cream cake forever
NEGATIVE	disapprove this banana forever
NEGATIVE	repelled by banana ice cream and cake very much
NEGATIVE	loathe that and your cookie very much
POSITIVE	fancy
NEGATIVE	disfavor it forever
POSITIVE	admire this chocolate
NEGATIVE	loathe banana cake
POSITIVE	admire ice cream cake a lot
POSITIVE	fancy this a lot
POSITIVE	not dislike chocolate so much
POSITIVE	not abhor my chocolate chip
POSITIVE	extremely adore banana ice cream
POSITIVE	not despise banana cake and chocolate chip
NEGATIVE	i hate this chocolate very much
NEGATIVE	i disfavor vanilla ice cream a lot
POSITIVE	i cherish
POSITIVE	admire this brownie
NEGATIVE	not admire them very much
NEGATIVE	extremely sick of
POSITIVE	cherish ice cream cake and banana
POSITIVE	i not object to that and banana a lot
POSITIVE	relish ice cream cake
